Allocate | Qureg[0]
Rz(12.566275272281) | Qureg[11]
CX | ( Qureg[10], Qureg[11] )
CX | ( Qureg[1], Qureg[10] )
CX | ( Qureg[0], Qureg[1] )
H | Qureg[11]
Rx(10.995574287564) | Qureg[10]
Rx(10.995574287564) | Qureg[1]
Rx(10.995574287564) | Qureg[0]
Rx(1.570796326795) | Qureg[0]
H | Qureg[1]
Rx(1.570796326795) | Qureg[10]
Rx(1.570796326795) | Qureg[11]
CX | ( Qureg[0], Qureg[1] )
CX | ( Qureg[1], Qureg[10] )
CX | ( Qureg[10], Qureg[11] )
Rz(9.5342078e-05) | Qureg[11]
CX | ( Qureg[10], Qureg[11] )
CX | ( Qureg[1], Qureg[10] )
CX | ( Qureg[0], Qureg[1] )
Rx(10.995574287564) | Qureg[11]
Rx(10.995574287564) | Qureg[10]
H | Qureg[1]
Rx(10.995574287564) | Qureg[0]
H | Qureg[0]
H | Qureg[1]
Rx(1.570796326795) | Qureg[10]
H | Qureg[11]
CX | ( Qureg[0], Qureg[1] )
CX | ( Qureg[1], Qureg[10] )
CX | ( Qureg[10], Qureg[11] )
Rz(9.5342078e-05) | Qureg[11]
CX | ( Qureg[10], Qureg[11] )
CX | ( Qureg[1], Qureg[10] )
CX | ( Qureg[0], Qureg[1] )
H | Qureg[11]
Rx(10.995574287564) | Qureg[10]
H | Qureg[1]
H | Qureg[0]
H | Qureg[0]
Rx(1.570796326795) | Qureg[1]
Rx(1.570796326795) | Qureg[10]
Rx(1.570796326795) | Qureg[11]
CX | ( Qureg[0], Qureg[1] )
CX | ( Qureg[1], Qureg[10] )
CX | ( Qureg[10], Qureg[11] )
Rz(9.5342078e-05) | Qureg[11]
CX | ( Qureg[10], Qureg[11] )
CX | ( Qureg[1], Qureg[10] )
CX | ( Qureg[0], Qureg[1] )
Rx(10.995574287564) | Qureg[11]
Rx(10.995574287564) | Qureg[10]
Rx(10.995574287564) | Qureg[1]
H | Qureg[0]
Rx(1.570796326795) | Qureg[0]
H | Qureg[1]
H | Qureg[10]
H | Qureg[11]
CX | ( Qureg[0], Qureg[1] )
CX | ( Qureg[1], Qureg[10] )
CX | ( Qureg[10], Qureg[11] )
Rz(12.566275272281) | Qureg[11]
CX | ( Qureg[10], Qureg[11] )
CX | ( Qureg[1], Qureg[10] )
CX | ( Qureg[0], Qureg[1] )
H | Qureg[11]
H | Qureg[10]
H | Qureg[1]
Rx(10.995574287564) | Qureg[0]
Rx(1.570796326795) | Qureg[0]
Rx(1.570796326795) | Qureg[1]
H | Qureg[10]
Rx(1.570796326795) | Qureg[11]
CX | ( Qureg[0], Qureg[1] )
CX | ( Qureg[1], Qureg[10] )
CX | ( Qureg[10], Qureg[11] )
Rz(12.566275272281) | Qureg[11]
CX | ( Qureg[10], Qureg[11] )
CX | ( Qureg[1], Qureg[10] )
CX | ( Qureg[0], Qureg[1] )
Rx(10.995574287564) | Qureg[11]
H | Qureg[10]
Rx(10.995574287564) | Qureg[1]
Rx(10.995574287564) | Qureg[0]
H | Qureg[0]
Rx(1.570796326795) | Qureg[1]
H | Qureg[10]
H | Qureg[11]
CX | ( Qureg[0], Qureg[1] )
CX | ( Qureg[1], Qureg[10] )
CX | ( Qureg[10], Qureg[11] )
Rz(12.566275272281) | Qureg[11]
CX | ( Qureg[10], Qureg[11] )
CX | ( Qureg[1], Qureg[10] )
CX | ( Qureg[0], Qureg[1] )
H | Qureg[11]
H | Qureg[10]
Rx(10.995574287564) | Qureg[1]
H | Qureg[0]
H | Qureg[0]
H | Qureg[1]
H | Qureg[10]
Rx(1.570796326795) | Qureg[11]
CX | ( Qureg[0], Qureg[1] )
CX | ( Qureg[1], Qureg[10] )
CX | ( Qureg[10], Qureg[11] )
Rz(9.5342078e-05) | Qureg[11]
CX | ( Qureg[10], Qureg[11] )
CX | ( Qureg[1], Qureg[10] )
CX | ( Qureg[0], Qureg[1] )
Rx(10.995574287564) | Qureg[11]
H | Qureg[10]
H | Qureg[1]
H | Qureg[0]
Rx(1.570796326795) | Qureg[1]
H | Qureg[11]
CX | ( Qureg[1], Qureg[2] )
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[5], Qureg[6] )
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[7], Qureg[8] )
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[9], Qureg[10] )
CX | ( Qureg[10], Qureg[11] )
Rz(3.9610829e-05) | Qureg[11]
CX | ( Qureg[10], Qureg[11] )
CX | ( Qureg[9], Qureg[10] )
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[7], Qureg[8] )
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[5], Qureg[6] )
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[1], Qureg[2] )
H | Qureg[11]
Rx(10.995574287564) | Qureg[1]
H | Qureg[1]
Rx(1.570796326795) | Qureg[11]
CX | ( Qureg[1], Qureg[2] )
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[5], Qureg[6] )
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[7], Qureg[8] )
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[9], Qureg[10] )
CX | ( Qureg[10], Qureg[11] )
Rz(12.566331003531) | Qureg[11]
CX | ( Qureg[10], Qureg[11] )
CX | ( Qureg[9], Qureg[10] )
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[7], Qureg[8] )
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[5], Qureg[6] )
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[1], Qureg[2] )
Rx(10.995574287564) | Qureg[11]
H | Qureg[1]
Rx(1.570796326795) | Qureg[2]
H | Qureg[10]
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[5], Qureg[6] )
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[7], Qureg[8] )
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[9], Qureg[10] )
Rz(12.550840310999) | Qureg[10]
CX | ( Qureg[9], Qureg[10] )
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[7], Qureg[8] )
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[5], Qureg[6] )
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[2], Qureg[3] )
H | Qureg[10]
Rx(10.995574287564) | Qureg[2]
H | Qureg[2]
Rx(1.570796326795) | Qureg[10]
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[5], Qureg[6] )
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[7], Qureg[8] )
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[9], Qureg[10] )
Rz(0.01553030336) | Qureg[10]
CX | ( Qureg[9], Qureg[10] )
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[7], Qureg[8] )
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[5], Qureg[6] )
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[2], Qureg[3] )
Rx(10.995574287564) | Qureg[10]
H | Qureg[2]
Rx(1.570796326795) | Qureg[2]
Rx(1.570796326795) | Qureg[3]
Rx(1.570796326795) | Qureg[10]
H | Qureg[11]
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[10] )
CX | ( Qureg[10], Qureg[11] )
Rz(12.559130580301) | Qureg[11]
CX | ( Qureg[10], Qureg[11] )
CX | ( Qureg[3], Qureg[10] )
CX | ( Qureg[2], Qureg[3] )
H | Qureg[11]
Rx(10.995574287564) | Qureg[10]
Rx(10.995574287564) | Qureg[3]
Rx(10.995574287564) | Qureg[2]
Rx(1.570796326795) | Qureg[2]
H | Qureg[3]
Rx(1.570796326795) | Qureg[10]
Rx(1.570796326795) | Qureg[11]
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[10] )
CX | ( Qureg[10], Qureg[11] )
Rz(0.007240034058) | Qureg[11]
CX | ( Qureg[10], Qureg[11] )
CX | ( Qureg[3], Qureg[10] )
CX | ( Qureg[2], Qureg[3] )
Rx(10.995574287564) | Qureg[11]
Rx(10.995574287564) | Qureg[10]
H | Qureg[3]
Rx(10.995574287564) | Qureg[2]
H | Qureg[2]
H | Qureg[3]
Rx(1.570796326795) | Qureg[10]
H | Qureg[11]
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[10] )
CX | ( Qureg[10], Qureg[11] )
Rz(0.007240034058) | Qureg[11]
CX | ( Qureg[10], Qureg[11] )
CX | ( Qureg[3], Qureg[10] )
CX | ( Qureg[2], Qureg[3] )
H | Qureg[11]
Rx(10.995574287564) | Qureg[10]
H | Qureg[3]
H | Qureg[2]
H | Qureg[2]
Rx(1.570796326795) | Qureg[3]
Rx(1.570796326795) | Qureg[10]
Rx(1.570796326795) | Qureg[11]
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[10] )
CX | ( Qureg[10], Qureg[11] )
Rz(0.007240034058) | Qureg[11]
CX | ( Qureg[10], Qureg[11] )
CX | ( Qureg[3], Qureg[10] )
CX | ( Qureg[2], Qureg[3] )
Rx(10.995574287564) | Qureg[11]
Rx(10.995574287564) | Qureg[10]
Rx(10.995574287564) | Qureg[3]
H | Qureg[2]
Rx(1.570796326795) | Qureg[2]
H | Qureg[3]
H | Qureg[10]
H | Qureg[11]
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[10] )
CX | ( Qureg[10], Qureg[11] )
Rz(12.559130580301) | Qureg[11]
CX | ( Qureg[10], Qureg[11] )
CX | ( Qureg[3], Qureg[10] )
CX | ( Qureg[2], Qureg[3] )
H | Qureg[11]
H | Qureg[10]
H | Qureg[3]
Rx(10.995574287564) | Qureg[2]
Rx(1.570796326795) | Qureg[2]
Rx(1.570796326795) | Qureg[3]
H | Qureg[10]
Rx(1.570796326795) | Qureg[11]
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[10] )
CX | ( Qureg[10], Qureg[11] )
Rz(12.559130580301) | Qureg[11]
CX | ( Qureg[10], Qureg[11] )
CX | ( Qureg[3], Qureg[10] )
CX | ( Qureg[2], Qureg[3] )
Rx(10.995574287564) | Qureg[11]
H | Qureg[10]
Rx(10.995574287564) | Qureg[3]
Rx(10.995574287564) | Qureg[2]
H | Qureg[2]
Rx(1.570796326795) | Qureg[3]
H | Qureg[10]
H | Qureg[11]
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[10] )
CX | ( Qureg[10], Qureg[11] )
Rz(12.559130580301) | Qureg[11]
CX | ( Qureg[10], Qureg[11] )
CX | ( Qureg[3], Qureg[10] )
CX | ( Qureg[2], Qureg[3] )
H | Qureg[11]
H | Qureg[10]
Rx(10.995574287564) | Qureg[3]
H | Qureg[2]
H | Qureg[2]
H | Qureg[3]
H | Qureg[10]
Rx(1.570796326795) | Qureg[11]
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[10] )
CX | ( Qureg[10], Qureg[11] )
Rz(0.007240034058) | Qureg[11]
CX | ( Qureg[10], Qureg[11] )
CX | ( Qureg[3], Qureg[10] )
CX | ( Qureg[2], Qureg[3] )
Rx(10.995574287564) | Qureg[11]
H | Qureg[10]
H | Qureg[3]
H | Qureg[2]
Rx(1.570796326795) | Qureg[3]
H | Qureg[11]
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[5], Qureg[6] )
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[7], Qureg[8] )
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[9], Qureg[10] )
CX | ( Qureg[10], Qureg[11] )
Rz(12.550840310999) | Qureg[11]
CX | ( Qureg[10], Qureg[11] )
CX | ( Qureg[9], Qureg[10] )
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[7], Qureg[8] )
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[5], Qureg[6] )
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[3], Qureg[4] )
H | Qureg[11]
Rx(10.995574287564) | Qureg[3]
H | Qureg[3]
Rx(1.570796326795) | Qureg[11]
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[5], Qureg[6] )
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[7], Qureg[8] )
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[9], Qureg[10] )
CX | ( Qureg[10], Qureg[11] )
Rz(0.01553030336) | Qureg[11]
CX | ( Qureg[10], Qureg[11] )
CX | ( Qureg[9], Qureg[10] )
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[7], Qureg[8] )
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[5], Qureg[6] )
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[3], Qureg[4] )
Rx(10.995574287564) | Qureg[11]
H | Qureg[3]
Rx(1.570796326795) | Qureg[4]
H | Qureg[10]
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[5], Qureg[6] )
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[7], Qureg[8] )
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[9], Qureg[10] )
Rz(0.018748033756) | Qureg[10]
CX | ( Qureg[9], Qureg[10] )
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[7], Qureg[8] )
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[5], Qureg[6] )
CX | ( Qureg[4], Qureg[5] )
H | Qureg[10]
Rx(10.995574287564) | Qureg[4]
H | Qureg[4]
Rx(1.570796326795) | Qureg[10]
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[5], Qureg[6] )
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[7], Qureg[8] )
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[9], Qureg[10] )
Rz(12.547622580603) | Qureg[10]
CX | ( Qureg[9], Qureg[10] )
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[7], Qureg[8] )
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[5], Qureg[6] )
CX | ( Qureg[4], Qureg[5] )
Rx(10.995574287564) | Qureg[10]
H | Qureg[4]
Rx(1.570796326795) | Qureg[4]
Rx(1.570796326795) | Qureg[5]
Rx(1.570796326795) | Qureg[10]
H | Qureg[11]
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[5], Qureg[10] )
CX | ( Qureg[10], Qureg[11] )
Rz(12.548433486207) | Qureg[11]
CX | ( Qureg[10], Qureg[11] )
CX | ( Qureg[5], Qureg[10] )
CX | ( Qureg[4], Qureg[5] )
H | Qureg[11]
Rx(10.995574287564) | Qureg[10]
Rx(10.995574287564) | Qureg[5]
Rx(10.995574287564) | Qureg[4]
Rx(1.570796326795) | Qureg[4]
H | Qureg[5]
Rx(1.570796326795) | Qureg[10]
Rx(1.570796326795) | Qureg[11]
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[5], Qureg[10] )
CX | ( Qureg[10], Qureg[11] )
Rz(0.017937128152) | Qureg[11]
CX | ( Qureg[10], Qureg[11] )
CX | ( Qureg[5], Qureg[10] )
CX | ( Qureg[4], Qureg[5] )
Rx(10.995574287564) | Qureg[11]
Rx(10.995574287564) | Qureg[10]
H | Qureg[5]
Rx(10.995574287564) | Qureg[4]
H | Qureg[4]
H | Qureg[5]
Rx(1.570796326795) | Qureg[10]
H | Qureg[11]
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[5], Qureg[10] )
CX | ( Qureg[10], Qureg[11] )
Rz(0.017937128152) | Qureg[11]
CX | ( Qureg[10], Qureg[11] )
CX | ( Qureg[5], Qureg[10] )
CX | ( Qureg[4], Qureg[5] )
H | Qureg[11]
Rx(10.995574287564) | Qureg[10]
H | Qureg[5]
H | Qureg[4]
H | Qureg[4]
Rx(1.570796326795) | Qureg[5]
Rx(1.570796326795) | Qureg[10]
Rx(1.570796326795) | Qureg[11]
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[5], Qureg[10] )
CX | ( Qureg[10], Qureg[11] )
Rz(0.017937128152) | Qureg[11]
CX | ( Qureg[10], Qureg[11] )
CX | ( Qureg[5], Qureg[10] )
CX | ( Qureg[4], Qureg[5] )
Rx(10.995574287564) | Qureg[11]
Rx(10.995574287564) | Qureg[10]
Rx(10.995574287564) | Qureg[5]
H | Qureg[4]
Rx(1.570796326795) | Qureg[4]
H | Qureg[5]
H | Qureg[10]
H | Qureg[11]
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[5], Qureg[10] )
CX | ( Qureg[10], Qureg[11] )
Rz(12.548433486207) | Qureg[11]
CX | ( Qureg[10], Qureg[11] )
CX | ( Qureg[5], Qureg[10] )
CX | ( Qureg[4], Qureg[5] )
H | Qureg[11]
H | Qureg[10]
H | Qureg[5]
Rx(10.995574287564) | Qureg[4]
Rx(1.570796326795) | Qureg[4]
Rx(1.570796326795) | Qureg[5]
H | Qureg[10]
Rx(1.570796326795) | Qureg[11]
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[5], Qureg[10] )
CX | ( Qureg[10], Qureg[11] )
Rz(12.548433486207) | Qureg[11]
CX | ( Qureg[10], Qureg[11] )
CX | ( Qureg[5], Qureg[10] )
CX | ( Qureg[4], Qureg[5] )
Rx(10.995574287564) | Qureg[11]
H | Qureg[10]
Rx(10.995574287564) | Qureg[5]
Rx(10.995574287564) | Qureg[4]
H | Qureg[4]
Rx(1.570796326795) | Qureg[5]
H | Qureg[10]
H | Qureg[11]
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[5], Qureg[10] )
CX | ( Qureg[10], Qureg[11] )
Rz(12.548433486207) | Qureg[11]
CX | ( Qureg[10], Qureg[11] )
CX | ( Qureg[5], Qureg[10] )
CX | ( Qureg[4], Qureg[5] )
H | Qureg[11]
H | Qureg[10]
Rx(10.995574287564) | Qureg[5]
H | Qureg[4]
H | Qureg[4]
H | Qureg[5]
H | Qureg[10]
Rx(1.570796326795) | Qureg[11]
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[5], Qureg[10] )
CX | ( Qureg[10], Qureg[11] )
Rz(0.017937128152) | Qureg[11]
CX | ( Qureg[10], Qureg[11] )
CX | ( Qureg[5], Qureg[10] )
CX | ( Qureg[4], Qureg[5] )
Rx(10.995574287564) | Qureg[11]
H | Qureg[10]
H | Qureg[5]
H | Qureg[4]
Rx(1.570796326795) | Qureg[5]
H | Qureg[11]
CX | ( Qureg[5], Qureg[6] )
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[7], Qureg[8] )
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[9], Qureg[10] )
CX | ( Qureg[10], Qureg[11] )
Rz(0.018748033756) | Qureg[11]
CX | ( Qureg[10], Qureg[11] )
CX | ( Qureg[9], Qureg[10] )
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[7], Qureg[8] )
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[5], Qureg[6] )
H | Qureg[11]
Rx(10.995574287564) | Qureg[5]
H | Qureg[5]
Rx(1.570796326795) | Qureg[11]
CX | ( Qureg[5], Qureg[6] )
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[7], Qureg[8] )
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[9], Qureg[10] )
CX | ( Qureg[10], Qureg[11] )
Rz(12.547622580603) | Qureg[11]
CX | ( Qureg[10], Qureg[11] )
CX | ( Qureg[9], Qureg[10] )
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[7], Qureg[8] )
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[5], Qureg[6] )
Rx(10.995574287564) | Qureg[11]
H | Qureg[5]
Rx(1.570796326795) | Qureg[6]
H | Qureg[10]
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[7], Qureg[8] )
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[9], Qureg[10] )
Rz(12.54139010946) | Qureg[10]
CX | ( Qureg[9], Qureg[10] )
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[7], Qureg[8] )
CX | ( Qureg[6], Qureg[7] )
H | Qureg[10]
Rx(10.995574287564) | Qureg[6]
H | Qureg[6]
Rx(1.570796326795) | Qureg[10]
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[7], Qureg[8] )
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[9], Qureg[10] )
Rz(0.024980504899) | Qureg[10]
CX | ( Qureg[9], Qureg[10] )
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[7], Qureg[8] )
CX | ( Qureg[6], Qureg[7] )
Rx(10.995574287564) | Qureg[10]
H | Qureg[6]
Rx(1.570796326795) | Qureg[6]
Rx(1.570796326795) | Qureg[7]
Rx(1.570796326795) | Qureg[10]
H | Qureg[11]
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[7], Qureg[10] )
CX | ( Qureg[10], Qureg[11] )
Rz(12.535865822814) | Qureg[11]
CX | ( Qureg[10], Qureg[11] )
CX | ( Qureg[7], Qureg[10] )
CX | ( Qureg[6], Qureg[7] )
H | Qureg[11]
Rx(10.995574287564) | Qureg[10]
Rx(10.995574287564) | Qureg[7]
Rx(10.995574287564) | Qureg[6]
Rx(1.570796326795) | Qureg[6]
H | Qureg[7]
Rx(1.570796326795) | Qureg[10]
Rx(1.570796326795) | Qureg[11]
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[7], Qureg[10] )
CX | ( Qureg[10], Qureg[11] )
Rz(0.030504791545) | Qureg[11]
CX | ( Qureg[10], Qureg[11] )
CX | ( Qureg[7], Qureg[10] )
CX | ( Qureg[6], Qureg[7] )
Rx(10.995574287564) | Qureg[11]
Rx(10.995574287564) | Qureg[10]
H | Qureg[7]
Rx(10.995574287564) | Qureg[6]
H | Qureg[6]
H | Qureg[7]
Rx(1.570796326795) | Qureg[10]
H | Qureg[11]
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[7], Qureg[10] )
CX | ( Qureg[10], Qureg[11] )
Rz(0.030504791545) | Qureg[11]
CX | ( Qureg[10], Qureg[11] )
CX | ( Qureg[7], Qureg[10] )
CX | ( Qureg[6], Qureg[7] )
H | Qureg[11]
Rx(10.995574287564) | Qureg[10]
H | Qureg[7]
H | Qureg[6]
H | Qureg[6]
Rx(1.570796326795) | Qureg[7]
Rx(1.570796326795) | Qureg[10]
Rx(1.570796326795) | Qureg[11]
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[7], Qureg[10] )
CX | ( Qureg[10], Qureg[11] )
Rz(0.030504791545) | Qureg[11]
CX | ( Qureg[10], Qureg[11] )
CX | ( Qureg[7], Qureg[10] )
CX | ( Qureg[6], Qureg[7] )
Rx(10.995574287564) | Qureg[11]
Rx(10.995574287564) | Qureg[10]
Rx(10.995574287564) | Qureg[7]
H | Qureg[6]
Rx(1.570796326795) | Qureg[6]
H | Qureg[7]
H | Qureg[10]
H | Qureg[11]
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[7], Qureg[10] )
CX | ( Qureg[10], Qureg[11] )
Rz(12.535865822814) | Qureg[11]
CX | ( Qureg[10], Qureg[11] )
CX | ( Qureg[7], Qureg[10] )
CX | ( Qureg[6], Qureg[7] )
H | Qureg[11]
H | Qureg[10]
H | Qureg[7]
Rx(10.995574287564) | Qureg[6]
Rx(1.570796326795) | Qureg[6]
Rx(1.570796326795) | Qureg[7]
H | Qureg[10]
Rx(1.570796326795) | Qureg[11]
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[7], Qureg[10] )
CX | ( Qureg[10], Qureg[11] )
Rz(12.535865822814) | Qureg[11]
CX | ( Qureg[10], Qureg[11] )
CX | ( Qureg[7], Qureg[10] )
CX | ( Qureg[6], Qureg[7] )
Rx(10.995574287564) | Qureg[11]
H | Qureg[10]
Rx(10.995574287564) | Qureg[7]
Rx(10.995574287564) | Qureg[6]
H | Qureg[6]
Rx(1.570796326795) | Qureg[7]
H | Qureg[10]
H | Qureg[11]
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[7], Qureg[10] )
CX | ( Qureg[10], Qureg[11] )
Rz(12.535865822814) | Qureg[11]
CX | ( Qureg[10], Qureg[11] )
CX | ( Qureg[7], Qureg[10] )
