Allocate | Qureg[0]
CX | ( Qureg[1], Qureg[4] )
CX | ( Qureg[0], Qureg[1] )
H | Qureg[5]
Rx(10.995574287564) | Qureg[4]
H | Qureg[1]
H | Qureg[0]
H | Qureg[0]
Rx(1.570796326795) | Qureg[1]
Rx(1.570796326795) | Qureg[4]
Rx(1.570796326795) | Qureg[5]
CX | ( Qureg[0], Qureg[1] )
CX | ( Qureg[1], Qureg[4] )
CX | ( Qureg[4], Qureg[5] )
Rz(0.000636269452) | Qureg[5]
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[1], Qureg[4] )
CX | ( Qureg[0], Qureg[1] )
Rx(10.995574287564) | Qureg[5]
Rx(10.995574287564) | Qureg[4]
Rx(10.995574287564) | Qureg[1]
H | Qureg[0]
Rx(1.570796326795) | Qureg[0]
H | Qureg[1]
H | Qureg[4]
H | Qureg[5]
CX | ( Qureg[0], Qureg[1] )
CX | ( Qureg[1], Qureg[4] )
CX | ( Qureg[4], Qureg[5] )
Rz(12.565734344907) | Qureg[5]
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[1], Qureg[4] )
CX | ( Qureg[0], Qureg[1] )
H | Qureg[5]
H | Qureg[4]
H | Qureg[1]
Rx(10.995574287564) | Qureg[0]
Rx(1.570796326795) | Qureg[0]
Rx(1.570796326795) | Qureg[1]
H | Qureg[4]
Rx(1.570796326795) | Qureg[5]
CX | ( Qureg[0], Qureg[1] )
CX | ( Qureg[1], Qureg[4] )
CX | ( Qureg[4], Qureg[5] )
Rz(12.565734344907) | Qureg[5]
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[1], Qureg[4] )
CX | ( Qureg[0], Qureg[1] )
Rx(10.995574287564) | Qureg[5]
H | Qureg[4]
Rx(10.995574287564) | Qureg[1]
Rx(10.995574287564) | Qureg[0]
H | Qureg[0]
Rx(1.570796326795) | Qureg[1]
H | Qureg[4]
H | Qureg[5]
CX | ( Qureg[0], Qureg[1] )
CX | ( Qureg[1], Qureg[4] )
CX | ( Qureg[4], Qureg[5] )
Rz(12.565734344907) | Qureg[5]
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[1], Qureg[4] )
CX | ( Qureg[0], Qureg[1] )
H | Qureg[5]
H | Qureg[4]
Rx(10.995574287564) | Qureg[1]
H | Qureg[0]
H | Qureg[0]
H | Qureg[1]
H | Qureg[4]
Rx(1.570796326795) | Qureg[5]
CX | ( Qureg[0], Qureg[1] )
CX | ( Qureg[1], Qureg[4] )
CX | ( Qureg[4], Qureg[5] )
Rz(0.000636269452) | Qureg[5]
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[1], Qureg[4] )
CX | ( Qureg[0], Qureg[1] )
Rx(10.995574287564) | Qureg[5]
H | Qureg[4]
H | Qureg[1]
H | Qureg[0]
Rx(1.570796326795) | Qureg[1]
H | Qureg[5]
CX | ( Qureg[1], Qureg[2] )
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[4], Qureg[5] )
Rz(0.00099842083) | Qureg[5]
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[1], Qureg[2] )
H | Qureg[5]
Rx(10.995574287564) | Qureg[1]
H | Qureg[1]
Rx(1.570796326795) | Qureg[5]
CX | ( Qureg[1], Qureg[2] )
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[4], Qureg[5] )
Rz(12.56537219353) | Qureg[5]
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[1], Qureg[2] )
Rx(10.995574287564) | Qureg[5]
H | Qureg[1]
Rx(1.570796326795) | Qureg[2]
H | Qureg[4]
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[4] )
Rz(0.0338556687) | Qureg[4]
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[2], Qureg[3] )
H | Qureg[4]
Rx(10.995574287564) | Qureg[2]
H | Qureg[2]
Rx(1.570796326795) | Qureg[4]
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[4] )
Rz(12.532514945659) | Qureg[4]
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[2], Qureg[3] )
Rx(10.995574287564) | Qureg[4]
H | Qureg[2]
Rx(1.570796326795) | Qureg[2]
Rx(1.570796326795) | Qureg[3]
Rx(1.570796326795) | Qureg[4]
H | Qureg[5]
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[4], Qureg[5] )
Rz(12.560745520414) | Qureg[5]
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[2], Qureg[3] )
H | Qureg[5]
Rx(10.995574287564) | Qureg[4]
Rx(10.995574287564) | Qureg[3]
Rx(10.995574287564) | Qureg[2]
Rx(1.570796326795) | Qureg[2]
H | Qureg[3]
Rx(1.570796326795) | Qureg[4]
Rx(1.570796326795) | Qureg[5]
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[4], Qureg[5] )
Rz(0.005625093945) | Qureg[5]
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[2], Qureg[3] )
Rx(10.995574287564) | Qureg[5]
Rx(10.995574287564) | Qureg[4]
H | Qureg[3]
Rx(10.995574287564) | Qureg[2]
H | Qureg[2]
H | Qureg[3]
Rx(1.570796326795) | Qureg[4]
H | Qureg[5]
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[4], Qureg[5] )
Rz(0.005625093945) | Qureg[5]
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[2], Qureg[3] )
H | Qureg[5]
Rx(10.995574287564) | Qureg[4]
H | Qureg[3]
H | Qureg[2]
H | Qureg[2]
Rx(1.570796326795) | Qureg[3]
Rx(1.570796326795) | Qureg[4]
Rx(1.570796326795) | Qureg[5]
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[4], Qureg[5] )
Rz(0.005625093945) | Qureg[5]
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[2], Qureg[3] )
Rx(10.995574287564) | Qureg[5]
Rx(10.995574287564) | Qureg[4]
Rx(10.995574287564) | Qureg[3]
H | Qureg[2]
Rx(1.570796326795) | Qureg[2]
H | Qureg[3]
H | Qureg[4]
H | Qureg[5]
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[4], Qureg[5] )
Rz(12.560745520414) | Qureg[5]
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[2], Qureg[3] )
H | Qureg[5]
H | Qureg[4]
H | Qureg[3]
Rx(10.995574287564) | Qureg[2]
Rx(1.570796326795) | Qureg[2]
Rx(1.570796326795) | Qureg[3]
H | Qureg[4]
Rx(1.570796326795) | Qureg[5]
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[4], Qureg[5] )
Rz(12.560745520414) | Qureg[5]
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[2], Qureg[3] )
Rx(10.995574287564) | Qureg[5]
H | Qureg[4]
Rx(10.995574287564) | Qureg[3]
Rx(10.995574287564) | Qureg[2]
H | Qureg[2]
Rx(1.570796326795) | Qureg[3]
H | Qureg[4]
H | Qureg[5]
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[4], Qureg[5] )
Rz(12.560745520414) | Qureg[5]
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[2], Qureg[3] )
H | Qureg[5]
H | Qureg[4]
Rx(10.995574287564) | Qureg[3]
H | Qureg[2]
H | Qureg[2]
H | Qureg[3]
H | Qureg[4]
Rx(1.570796326795) | Qureg[5]
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[4], Qureg[5] )
Rz(0.005625093945) | Qureg[5]
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[2], Qureg[3] )
Rx(10.995574287564) | Qureg[5]
H | Qureg[4]
H | Qureg[3]
H | Qureg[2]
Rx(1.570796326795) | Qureg[3]
H | Qureg[5]
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[4], Qureg[5] )
Rz(0.0338556687) | Qureg[5]
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[3], Qureg[4] )
H | Qureg[5]
Rx(10.995574287564) | Qureg[3]
H | Qureg[3]
Rx(1.570796326795) | Qureg[5]
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[4], Qureg[5] )
Rz(12.532514945659) | Qureg[5]
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[3], Qureg[4] )
Rx(10.995574287564) | Qureg[5]
H | Qureg[3]
Rx(1.570796326795) | Qureg[0]
Rx(1.570796326795) | Qureg[1]
Rx(1.570796326795) | Qureg[6]
H | Qureg[7]
CX | ( Qureg[0], Qureg[1] )
CX | ( Qureg[1], Qureg[6] )
CX | ( Qureg[6], Qureg[7] )
Rz(12.565996341703) | Qureg[7]
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[1], Qureg[6] )
CX | ( Qureg[0], Qureg[1] )
H | Qureg[7]
Rx(10.995574287564) | Qureg[6]
Rx(10.995574287564) | Qureg[1]
Rx(10.995574287564) | Qureg[0]
Rx(1.570796326795) | Qureg[0]
H | Qureg[1]
Rx(1.570796326795) | Qureg[6]
Rx(1.570796326795) | Qureg[7]
CX | ( Qureg[0], Qureg[1] )
CX | ( Qureg[1], Qureg[6] )
CX | ( Qureg[6], Qureg[7] )
Rz(0.000374272656) | Qureg[7]
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[1], Qureg[6] )
CX | ( Qureg[0], Qureg[1] )
Rx(10.995574287564) | Qureg[7]
Rx(10.995574287564) | Qureg[6]
H | Qureg[1]
Rx(10.995574287564) | Qureg[0]
H | Qureg[0]
H | Qureg[1]
Rx(1.570796326795) | Qureg[6]
H | Qureg[7]
CX | ( Qureg[0], Qureg[1] )
CX | ( Qureg[1], Qureg[6] )
CX | ( Qureg[6], Qureg[7] )
Rz(0.000374272656) | Qureg[7]
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[1], Qureg[6] )
CX | ( Qureg[0], Qureg[1] )
H | Qureg[7]
Rx(10.995574287564) | Qureg[6]
H | Qureg[1]
H | Qureg[0]
H | Qureg[0]
Rx(1.570796326795) | Qureg[1]
Rx(1.570796326795) | Qureg[6]
Rx(1.570796326795) | Qureg[7]
CX | ( Qureg[0], Qureg[1] )
CX | ( Qureg[1], Qureg[6] )
CX | ( Qureg[6], Qureg[7] )
Rz(0.000374272656) | Qureg[7]
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[1], Qureg[6] )
CX | ( Qureg[0], Qureg[1] )
Rx(10.995574287564) | Qureg[7]
Rx(10.995574287564) | Qureg[6]
Rx(10.995574287564) | Qureg[1]
H | Qureg[0]
Rx(1.570796326795) | Qureg[0]
H | Qureg[1]
H | Qureg[6]
H | Qureg[7]
CX | ( Qureg[0], Qureg[1] )
CX | ( Qureg[1], Qureg[6] )
CX | ( Qureg[6], Qureg[7] )
Rz(12.565996341703) | Qureg[7]
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[1], Qureg[6] )
CX | ( Qureg[0], Qureg[1] )
H | Qureg[7]
H | Qureg[6]
H | Qureg[1]
Rx(10.995574287564) | Qureg[0]
Rx(1.570796326795) | Qureg[0]
Rx(1.570796326795) | Qureg[1]
H | Qureg[6]
Rx(1.570796326795) | Qureg[7]
CX | ( Qureg[0], Qureg[1] )
CX | ( Qureg[1], Qureg[6] )
CX | ( Qureg[6], Qureg[7] )
Rz(12.565996341703) | Qureg[7]
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[1], Qureg[6] )
CX | ( Qureg[0], Qureg[1] )
Rx(10.995574287564) | Qureg[7]
H | Qureg[6]
Rx(10.995574287564) | Qureg[1]
Rx(10.995574287564) | Qureg[0]
H | Qureg[0]
Rx(1.570796326795) | Qureg[1]
H | Qureg[6]
H | Qureg[7]
CX | ( Qureg[0], Qureg[1] )
CX | ( Qureg[1], Qureg[6] )
CX | ( Qureg[6], Qureg[7] )
Rz(12.565996341703) | Qureg[7]
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[1], Qureg[6] )
CX | ( Qureg[0], Qureg[1] )
H | Qureg[7]
H | Qureg[6]
Rx(10.995574287564) | Qureg[1]
H | Qureg[0]
H | Qureg[0]
H | Qureg[1]
H | Qureg[6]
Rx(1.570796326795) | Qureg[7]
CX | ( Qureg[0], Qureg[1] )
CX | ( Qureg[1], Qureg[6] )
CX | ( Qureg[6], Qureg[7] )
Rz(0.000374272656) | Qureg[7]
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[1], Qureg[6] )
CX | ( Qureg[0], Qureg[1] )
Rx(10.995574287564) | Qureg[7]
H | Qureg[6]
H | Qureg[1]
H | Qureg[0]
Rx(1.570796326795) | Qureg[2]
Rx(1.570796326795) | Qureg[3]
Rx(1.570796326795) | Qureg[6]
H | Qureg[7]
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[6] )
CX | ( Qureg[6], Qureg[7] )
Rz(12.553901075372) | Qureg[7]
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[3], Qureg[6] )
CX | ( Qureg[2], Qureg[3] )
H | Qureg[7]
Rx(10.995574287564) | Qureg[6]
Rx(10.995574287564) | Qureg[3]
Rx(10.995574287564) | Qureg[2]
Rx(1.570796326795) | Qureg[2]
H | Qureg[3]
Rx(1.570796326795) | Qureg[6]
Rx(1.570796326795) | Qureg[7]
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[6] )
CX | ( Qureg[6], Qureg[7] )
Rz(0.012469538987) | Qureg[7]
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[3], Qureg[6] )
CX | ( Qureg[2], Qureg[3] )
Rx(10.995574287564) | Qureg[7]
Rx(10.995574287564) | Qureg[6]
H | Qureg[3]
Rx(10.995574287564) | Qureg[2]
H | Qureg[2]
H | Qureg[3]
Rx(1.570796326795) | Qureg[6]
H | Qureg[7]
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[6] )
CX | ( Qureg[6], Qureg[7] )
Rz(0.012469538987) | Qureg[7]
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[3], Qureg[6] )
CX | ( Qureg[2], Qureg[3] )
H | Qureg[7]
Rx(10.995574287564) | Qureg[6]
H | Qureg[3]
H | Qureg[2]
H | Qureg[2]
Rx(1.570796326795) | Qureg[3]
Rx(1.570796326795) | Qureg[6]
Rx(1.570796326795) | Qureg[7]
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[6] )
CX | ( Qureg[6], Qureg[7] )
Rz(0.012469538987) | Qureg[7]
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[3], Qureg[6] )
CX | ( Qureg[2], Qureg[3] )
Rx(10.995574287564) | Qureg[7]
Rx(10.995574287564) | Qureg[6]
Rx(10.995574287564) | Qureg[3]
H | Qureg[2]
Rx(1.570796326795) | Qureg[2]
H | Qureg[3]
H | Qureg[6]
H | Qureg[7]
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[6] )
CX | ( Qureg[6], Qureg[7] )
Rz(12.553901075372) | Qureg[7]
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[3], Qureg[6] )
CX | ( Qureg[2], Qureg[3] )
H | Qureg[7]
H | Qureg[6]
H | Qureg[3]
Rx(10.995574287564) | Qureg[2]
Rx(1.570796326795) | Qureg[2]
Rx(1.570796326795) | Qureg[3]
H | Qureg[6]
Rx(1.570796326795) | Qureg[7]
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[6] )
CX | ( Qureg[6], Qureg[7] )
Rz(12.553901075372) | Qureg[7]
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[3], Qureg[6] )
CX | ( Qureg[2], Qureg[3] )
Rx(10.995574287564) | Qureg[7]
H | Qureg[6]
Rx(10.995574287564) | Qureg[3]
Rx(10.995574287564) | Qureg[2]
H | Qureg[2]
Rx(1.570796326795) | Qureg[3]
H | Qureg[6]
H | Qureg[7]
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[6] )
CX | ( Qureg[6], Qureg[7] )
Rz(12.553901075372) | Qureg[7]
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[3], Qureg[6] )
CX | ( Qureg[2], Qureg[3] )
H | Qureg[7]
H | Qureg[6]
Rx(10.995574287564) | Qureg[3]
H | Qureg[2]
H | Qureg[2]
H | Qureg[3]
H | Qureg[6]
Rx(1.570796326795) | Qureg[7]
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[6] )
CX | ( Qureg[6], Qureg[7] )
Rz(0.012469538987) | Qureg[7]
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[3], Qureg[6] )
CX | ( Qureg[2], Qureg[3] )
Rx(10.995574287564) | Qureg[7]
H | Qureg[6]
H | Qureg[3]
H | Qureg[2]
Rx(1.570796326795) | Qureg[0]
Rx(1.570796326795) | Qureg[1]
Rx(1.570796326795) | Qureg[8]
H | Qureg[9]
CX | ( Qureg[0], Qureg[1] )
CX | ( Qureg[1], Qureg[8] )
CX | ( Qureg[8], Qureg[9] )
Rz(12.565996341703) | Qureg[9]
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[1], Qureg[8] )
CX | ( Qureg[0], Qureg[1] )
H | Qureg[9]
Rx(10.995574287564) | Qureg[8]
Rx(10.995574287564) | Qureg[1]
Rx(10.995574287564) | Qureg[0]
Rx(1.570796326795) | Qureg[0]
H | Qureg[1]
Rx(1.570796326795) | Qureg[8]
Rx(1.570796326795) | Qureg[9]
CX | ( Qureg[0], Qureg[1] )
CX | ( Qureg[1], Qureg[8] )
CX | ( Qureg[8], Qureg[9] )
Rz(0.000374272656) | Qureg[9]
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[1], Qureg[8] )
CX | ( Qureg[0], Qureg[1] )
Rx(10.995574287564) | Qureg[9]
Rx(10.995574287564) | Qureg[8]
H | Qureg[1]
Rx(10.995574287564) | Qureg[0]
H | Qureg[0]
H | Qureg[1]
Rx(1.570796326795) | Qureg[8]
H | Qureg[9]
CX | ( Qureg[0], Qureg[1] )
CX | ( Qureg[1], Qureg[8] )
CX | ( Qureg[8], Qureg[9] )
Rz(0.000374272656) | Qureg[9]
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[1], Qureg[8] )
CX | ( Qureg[0], Qureg[1] )
H | Qureg[9]
Rx(10.995574287564) | Qureg[8]
H | Qureg[1]
H | Qureg[0]
H | Qureg[0]
Rx(1.570796326795) | Qureg[1]
Rx(1.570796326795) | Qureg[8]
Rx(1.570796326795) | Qureg[9]
CX | ( Qureg[0], Qureg[1] )
CX | ( Qureg[1], Qureg[8] )
CX | ( Qureg[8], Qureg[9] )
Rz(0.000374272656) | Qureg[9]
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[1], Qureg[8] )
CX | ( Qureg[0], Qureg[1] )
Rx(10.995574287564) | Qureg[9]
Rx(10.995574287564) | Qureg[8]
Rx(10.995574287564) | Qureg[1]
H | Qureg[0]
Rx(1.570796326795) | Qureg[0]
H | Qureg[1]
H | Qureg[8]
H | Qureg[9]
CX | ( Qureg[0], Qureg[1] )
CX | ( Qureg[1], Qureg[8] )
CX | ( Qureg[8], Qureg[9] )
Rz(12.565996341703) | Qureg[9]
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[1], Qureg[8] )
CX | ( Qureg[0], Qureg[1] )
H | Qureg[9]
H | Qureg[8]
H | Qureg[1]
Rx(10.995574287564) | Qureg[0]
Rx(1.570796326795) | Qureg[0]
Rx(1.570796326795) | Qureg[1]
H | Qureg[8]
Rx(1.570796326795) | Qureg[9]
CX | ( Qureg[0], Qureg[1] )
CX | ( Qureg[1], Qureg[8] )
CX | ( Qureg[8], Qureg[9] )
Rz(12.565996341703) | Qureg[9]
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[1], Qureg[8] )
CX | ( Qureg[0], Qureg[1] )
Rx(10.995574287564) | Qureg[9]
H | Qureg[8]
Rx(10.995574287564) | Qureg[1]
Rx(10.995574287564) | Qureg[0]
H | Qureg[0]
Rx(1.570796326795) | Qureg[1]
H | Qureg[8]
H | Qureg[9]
CX | ( Qureg[0], Qureg[1] )
CX | ( Qureg[1], Qureg[8] )
CX | ( Qureg[8], Qureg[9] )
Rz(12.565996341703) | Qureg[9]
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[1], Qureg[8] )
CX | ( Qureg[0], Qureg[1] )
H | Qureg[9]
H | Qureg[8]
Rx(10.995574287564) | Qureg[1]
H | Qureg[0]
H | Qureg[0]
H | Qureg[1]
H | Qureg[8]
Rx(1.570796326795) | Qureg[9]
CX | ( Qureg[0], Qureg[1] )
CX | ( Qureg[1], Qureg[8] )
CX | ( Qureg[8], Qureg[9] )
Rz(0.000374272656) | Qureg[9]
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[1], Qureg[8] )
CX | ( Qureg[0], Qureg[1] )
Rx(10.995574287564) | Qureg[9]
H | Qureg[8]
H | Qureg[1]
H | Qureg[0]
Rx(1.570796326795) | Qureg[2]
Rx(1.570796326795) | Qureg[3]
Rx(1.570796326795) | Qureg[8]
H | Qureg[9]
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[8] )
CX | ( Qureg[8], Qureg[9] )
Rz(12.553901075372) | Qureg[9]
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[3], Qureg[8] )
CX | ( Qureg[2], Qureg[3] )
H | Qureg[9]
Rx(10.995574287564) | Qureg[8]
Rx(10.995574287564) | Qureg[3]
Rx(10.995574287564) | Qureg[2]
Rx(1.570796326795) | Qureg[2]
H | Qureg[3]
Rx(1.570796326795) | Qureg[8]
Rx(1.570796326795) | Qureg[9]
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[8] )
CX | ( Qureg[8], Qureg[9] )
Rz(0.012469538987) | Qureg[9]
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[3], Qureg[8] )
CX | ( Qureg[2], Qureg[3] )
Rx(10.995574287564) | Qureg[9]
Rx(10.995574287564) | Qureg[8]
H | Qureg[3]
Rx(10.995574287564) | Qureg[2]
H | Qureg[2]
H | Qureg[3]
Rx(1.570796326795) | Qureg[8]
H | Qureg[9]
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[8] )
CX | ( Qureg[8], Qureg[9] )
Rz(0.012469538987) | Qureg[9]
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[3], Qureg[8] )
CX | ( Qureg[2], Qureg[3] )
H | Qureg[9]
Rx(10.995574287564) | Qureg[8]
H | Qureg[3]
H | Qureg[2]
H | Qureg[2]
Rx(1.570796326795) | Qureg[3]
Rx(1.570796326795) | Qureg[8]
Rx(1.570796326795) | Qureg[9]
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[8] )
CX | ( Qureg[8], Qureg[9] )
Rz(0.012469538987) | Qureg[9]
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[3], Qureg[8] )
CX | ( Qureg[2], Qureg[3] )
Rx(10.995574287564) | Qureg[9]
Rx(10.995574287564) | Qureg[8]
Rx(10.995574287564) | Qureg[3]
H | Qureg[2]
Rx(1.570796326795) | Qureg[2]
H | Qureg[3]
H | Qureg[8]
H | Qureg[9]
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[8] )
CX | ( Qureg[8], Qureg[9] )
Rz(12.553901075372) | Qureg[9]
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[3], Qureg[8] )
CX | ( Qureg[2], Qureg[3] )
H | Qureg[9]
H | Qureg[8]
H | Qureg[3]
Rx(10.995574287564) | Qureg[2]
Rx(1.570796326795) | Qureg[2]
Rx(1.570796326795) | Qureg[3]
H | Qureg[8]
Rx(1.570796326795) | Qureg[9]
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[8] )
CX | ( Qureg[8], Qureg[9] )
Rz(12.553901075372) | Qureg[9]
